ISIN,Bond_Code,Issuer,Bond_Type,Issue_Date,Latest_Rating
---,239951,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-25,---
CND10006VQZ5,230018,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-24,---
CND10006VR05,239950,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-18,---
CND10006VNH0,230017,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-14,---
CND10006VPQ6,239949,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-11,---
CND10006VNZ2,239947,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-09,---
CND10006VNY5,239948,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-09,---
CND10006VC36,239946,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-04,---
CND10006V9L3,239945,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-04,---
CND10006V0Z2,239944,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-28,---
CND10006S9G8,230016,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-24,---
CND10006SSF9,239943,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-21,---
CND10006RXQ8,239942,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-14,---
CND10006PJH0,230015,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-14,---
CND10006PJG2,239941,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-07-14,---
